Typ,Kauf,Kcur,Verkauf,Vcur,Gebuhr,Gcur,Datum,Index,Trade Gruppe,Kommentar,Trade ID
Trade,4.99000000,DASH,0.04644995,BTC,0.01000000,DASH,15.01.2016 17:04,91,Exchange,,13636192
Trade,19.61146768,DASH,0.18253894,BTC,0.03930154,DASH,15.01.2016 17:04,92,Exchange,,13636191
Trade,1.59680000,DASH,0.01484800,BTC,0.00320000,DASH,15.01.2016 17:04,93,Exchange,,13636190
Trade,5.43910000,DASH,0.05057491,BTC,0.01090000,DASH,15.01.2016 17:04,94,Exchange,,13636189
Trade,7.03904453,DASH,0.06545175,BTC,0.01410630,DASH,15.01.2016 17:04,95,Exchange,,13636188
Trade,5.46904000,DASH,0.05085319,BTC,0.01096000,DASH,15.01.2016 17:04,96,Exchange,,13636187
Trade,3.44922867,DASH,0.03207222,BTC,0.00691228,DASH,15.01.2016 17:04,97,Exchange,,13636186
Trade,21.56900958,DASH,0.20055677,BTC,0.04322447,DASH,15.01.2016 17:04,98,Exchange,,13636185
Trade,89.82146424,DASH,0.83998639,BTC,0.18000293,DASH,15.01.2016 17:05,99,Exchange,,13636199
Trade,0.01088526,DASH,0.00010179,BTC,0.00002181,DASH,15.01.2016 17:05,100,Exchange,,13636198
Trade,9.98000000,DASH,0.09279440,BTC,0.02000000,DASH,15.01.2016 17:07,101,Exchange,,13636283
Trade,982.59049816,ETH,3.20058671,BTC,1.96911923,ETH,15.01.2016 17:09,102,Exchange,,13636302
Trade,3.52112853,ETH,0.01146931,BTC,0.00705637,ETH,15.01.2016 17:09,103,Exchange,,13636301
Trade,11.40636811,ETH,0.03715378,BTC,0.02285845,ETH,15.01.2016 17:09,104,Exchange,,13636300
Trade,10.46200521,ETH,0.03407772,BTC,0.02096594,ETH,15.01.2016 17:09,105,Exchange,,13636299
Trade,69968.53606286,BTS,0.55736459,BTC,140.21750714,BTS,15.01.2016 17:10,106,Exchange,,13636361
Trade,993.01000000,BTS,0.00791025,BTC,1.99000000,BTS,15.01.2016 17:10,107,Exchange,,13636360
Trade,11001.21317673,BTS,0.08741444,BTC,22.04651939,BTS,15.01.2016 17:10,108,Exchange,,13636359
Trade,160.17900000,BTS,0.00127597,BTC,0.32100000,BTS,15.01.2016 17:11,109,Exchange,,13636366
Trade,90.63866289,BTS,0.00072202,BTC,0.18164061,BTS,15.01.2016 17:12,110,Exchange,,13636402
Trade,45.31933146,BTS,0.00036101,BTC,0.09082030,BTS,15.01.2016 17:12,111,Exchange,,13636411
Trade,22.65966572,BTS,0.00018050,BTC,0.04541015,BTS,15.01.2016 17:13,112,Exchange,,13636416
Trade,498.27915426,BTS,0.00396925,BTC,0.99855542,BTS,15.01.2016 17:13,113,Exchange,,13636431
Trade,0.02008553,BTS,0.00000015,BTC,0.00004025,BTS,15.01.2016 17:13,114,Exchange,,13636432
Trade,198602.00000000,BTS,1.58205000,BTC,398.00000000,BTS,15.01.2016 17:13,115,Exchange,,13636434
Trade,106.42308596,BTS,0.00084775,BTC,0.21327272,BTS,15.01.2016 17:14,116,Exchange,,13636438
Trade,18909.22842365,BTS,0.15062962,BTC,37.89424534,BTS,15.01.2016 17:14,117,Exchange,,13636451
Auszahlung,0.0,,1007.98000006,DASH,0.0,,16.01.2016 07:37,118,,,8728630.0XamHi31ST5HnUemUF5oVdECwgXUsyURsrt
Einzahlung,1007.93000006,DASH,0.0,,0.0,,16.01.2016 07:50,119,XamHi31ST5HnUemUF5oVdECwgXUsyURsrt0.0OLD,,86affb253b5b01d57252d4dc24c1ca1a3be0cbb113c46ca5bbc6ae30af8c67b4_100793000006
Auszahlung,0.0,,1007.98000002,ETH,0.0,,16.01.2016 09:45,120,,,8731190.0ca915343a7b0c7078b19619310177b456b63e737
Einzahlung,1007.97000002,ETH,0.0,,0.0,,16.01.2016 09:47,121,,,0xCA915343a7B0c7078B19619310177b456b63e7370.00x0d4c0caefc0e7cc4d75100178b58e5bea9b5d1d4292108c600a01e1da855da86
Auszahlung,0.0,,397.50664910,BTS,0.0,,16.01.2016 10:30,122,,,8731880.0roman0.0treutlein
Auszahlung,0.0,,300000.00000000,BTS,0.0,,16.01.2016 10:33,123,,,8731920.0roman0.0treutlein
Auszahlung,0.0,,1007.93000006,DASH,0.0,,23.02.2016 17:33,124,XamHi31ST5HnUemUF5oVdECwgXUsyURsrt0.0OLD,,9a8741b028f6aa328638498cbd1053f646895020bfebe96b9fb6a5e368153055_0.0100793000006
